file;minutes;volumes;fd_threshold;afni_dof
sub-01_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;22.0
sub-01_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-01_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;1.0
sub-01_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-02_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-02_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-02_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-02_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-03_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-03_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-03_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-03_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-04_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-04_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-04_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-04_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-05_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-05_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-05_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-05_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-06_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-06_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-06_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;33.0
sub-07_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;29.0
sub-07_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-07_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;28.0
sub-07_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-08_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-08_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-08_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-08_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-09_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-09_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-09_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-09_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-10_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-10_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-10_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-10_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-11_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-11_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;34.0
sub-11_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;33.0
sub-11_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-12_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-12_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-12_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-12_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-13_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-13_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-13_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-13_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;34.0
sub-14_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-14_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-14_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;33.0
sub-14_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-15_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;32.0
sub-15_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-15_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;19.0
sub-15_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;31.0
sub-16_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;434;1.0;35.0
sub-16_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-16_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-16_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-17_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-17_ses-1_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-17_ses-2_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
sub-17_ses-2_task-SB_setting-preproc_bold.nii.gz;5;99;1.0;35.0
sub-18_ses-1_task-MB4_setting-preproc_bold.nii.gz;5;433;1.0;35.0
